date,open,high,low,close,volume,dividend,split
2012-01-02,239.45,240.5,237.05,239.25,162207,0,1
2012-01-03,242.25,247.15,241.4,247,200789,0,1
2012-01-04,248.2,248.2,245.2,245.2,189183,0,1
2012-01-05,245.75,246.95,244.65,245.4,220482,0,1
2012-01-06,244.9,245.5,238.4,241.9,326128,0,1
2012-01-09,240,240.65,236.4,238.95,247409,0,1
2012-01-10,240.3,244.1,240.1,243.7,232200,0,1
2012-01-11,243.55,244,241.25,242.55,254551,0,1
2012-01-12,243.2,244.4,240.65,244,278477,0,1
2012-01-13,244.45,247.5,243.8,246.7,204611,0,1
2012-01-16,245.05,245.3,241.5,243.85,243767,0,1
2012-01-17,246.35,249.5,246.25,249.5,242474,0,1
2012-01-18,248.6,249.9,247.6,248.85,223139,0,1
2012-01-19,252.1,253,250.65,252.5,218447,0,1
2012-01-20,253.5,258.95,253.15,257.2,236313,0,1
2012-01-25,258.75,262.15,257.95,259.55,269540,0,1
2012-01-26,260,260.25,258.5,260,168526,0,1
2012-01-27,259,260.9,258.4,260.2,208941,0,1
2012-01-30,258.5,259.35,256.25,257.25,251960,0,1
2012-01-31,257.5,259.6,255.9,258.25,301919,0,1
2012-02-01,256.9,260.3,256.2,258.25,300432,0,1
2012-02-02,261.35,263.25,261.1,262,240550,0,1
2012-02-03,261.55,261.85,258.95,260.45,212000,0,1
2012-02-06,263.35,263.4,259.4,260.35,264703,0,1
2012-02-07,260.9,262.1,260.2,261.1,232671,0,1
2012-02-08,261.15,264.3,261.15,264.1,241737,0,1
2012-02-09,263.65,265.45,260.15,265,340161,0,1
2012-02-10,264.9,264.9,260.95,262.05,204405,0,1
2012-02-13,262.95,264.95,262.05,263.5,222113,0,1
2012-02-14,262.4,263.75,262,263.05,207502,0,1
2012-02-15,264,267.15,263.95,266.35,249350,0,1
2012-02-16,263.55,264.7,262.6,262.7,234520,0,1
2012-02-17,266.75,267.75,265.8,267.3,187603,0,1
2012-02-20,269.3,270.3,267.15,267.2,193197,0,1
2012-02-21,266.2,268.15,264.6,267.45,286138,0,1
2012-02-22,266.95,267.6,265.4,267.25,199115,0,1
2012-02-23,265.55,265.85,263.6,264.35,180009,0,1
2012-02-24,264.3,266.35,263.05,266.1,241792,0,1
2012-02-27,265.3,265.55,261.5,262.2,242861,0,1
2012-02-28,263.15,264.7,262.55,264.65,189109,0,1
2012-02-29,265.9,268.25,265.5,267.25,222065,0,1
2012-03-02,269.3,269.7,267.6,267.95,182377,0,1
2012-03-05,266.9,267.35,264.35,265.2,208327,0,1
2012-03-06,265.6,266.3,261.3,262.8,295822,0,1
2012-03-07,259.6,261.2,258.3,260.5,266078,0,1
2012-03-08,261,263.35,259.65,262.85,297331,0,1
2012-03-09,267.35,269.05,265.35,267.55,196575,0,1
2012-03-12,268.4,268.5,265.7,266.2,167978,0,1
2012-03-13,267.55,270.8,267.3,270.2,209628,0,1
2012-03-14,273.5,274.6,272.45,272.85,197395,0,1
2012-03-15,272.75,273.75,271.95,272.75,182957,0,1
2012-03-16,273.7,274.35,271.3,271.5,171033,0,1
2012-03-19,272.4,273.75,271.1,273.05,185871,0,1
2012-03-20,272.25,274.1,270.85,271.9,202389,0,1
2012-03-21,270.1,271.8,268.7,270.3,231417,0,1
2012-03-22,270.05,270.85,268.8,270.55,223313,0,1
2012-03-23,268.75,270.35,268.15,269.7,162389,0,1
2012-03-26,271.3,272.35,268.75,269.8,214564,0,1
2012-03-27,273,273.25,271.35,273,175312,0,1
2012-03-28,271.65,272.45,271.25,271.8,146538,0,1
2012-03-29,269.9,270.65,268.2,268.8,167389,0,1
2012-03-30,268.45,268.9,267.15,267.75,198577,0,1
2012-04-02,269.85,270.75,268.25,270.4,215940,0,1
2012-04-03,272,274.35,271.55,273.95,219835,0,1
2012-04-04,273.5,273.85,270.65,270.85,185821,0,1
2012-04-05,269.5,272,267.5,272,301576,0,1
2012-04-06,271.5,272.1,270.55,271.65,212811,0,1
2012-04-09,268.1,268.8,266.8,267.3,188235,0,1
2012-04-10,267.45,269.25,266.6,267.45,269761,0,1
2012-04-12,266,266,262.8,264.55,273098,0,1
2012-04-13,267,268.7,266.25,268.15,228219,0,1
2012-04-16,265.3,266.3,264.2,265.55,201187,0,1
2012-04-17,265.15,266.15,264,264.9,187508,0,1
2012-04-18,268.85,268.85,267.05,267.5,168918,0,1
2012-04-19,266.5,267.9,266.1,266.6,186795,0,1
2012-04-20,264.8,265.1,262.5,263.05,176022,0,1
2012-04-23,262.55,263.75,261.45,262.85,209918,0,1
2012-04-24,260.55,262.6,259.95,261.3,268341,0,1
2012-04-25,263.5,263.6,261.3,261.5,223196,0,1
2012-04-26,263.45,263.75,261.1,262.15,215024,0,1
2012-04-27,263,264.9,262.75,263.85,233674,0,1
2012-04-30,265.55,266.1,264.4,265.1,170628,0,1
2012-05-02,266.55,267.35,265.9,267.35,201458,0,1
2012-05-03,266.9,266.95,266.2,266.95,109754,0,1
2012-05-04,265.3,265.85,264.35,265,149648,0,1
2012-05-07,260.15,260.8,259.45,259.55,197526,0,1
2012-05-08,261,261.9,260.7,261.9,144661,0,1
