DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,09:01:00,111.62,111.62,111.57,111.57,5256
2020-03-02,09:02:00,111.57,111.58,111.55,111.55,1829
2020-03-02,09:03:00,111.55,111.56,111.54,111.55,3660
2020-03-02,09:04:00,111.56,111.56,111.54,111.55,889
2020-03-02,09:05:00,111.54,111.55,111.54,111.54,1514
2020-03-02,09:06:00,111.54,111.54,111.53,111.53,5
2020-03-02,09:07:00,111.53,111.55,111.53,111.54,1672
2020-03-02,09:08:00,111.53,111.54,111.52,111.53,1067
2020-03-02,09:09:00,111.53,111.53,111.53,111.53,965
2020-03-02,09:10:00,111.53,111.55,111.53,111.54,1243
2020-03-02,09:11:00,111.54,111.55,111.54,111.55,37
2020-03-02,09:12:00,111.55,111.56,111.55,111.56,1644
2020-03-02,09:13:00,111.56,111.56,111.55,111.55,1850
2020-03-02,09:14:00,111.55,111.56,111.55,111.56,217
2020-03-02,09:15:00,111.55,111.55,111.55,111.55,985
2020-03-02,09:16:00,111.55,111.55,111.54,111.54,326
2020-03-02,09:17:00,111.55,111.55,111.54,111.54,285
2020-03-02,09:18:00,111.54,111.54,111.54,111.54,40
2020-03-02,09:19:00,111.54,111.54,111.54,111.54,1441
2020-03-02,09:20:00,111.54,111.54,111.54,111.54,394
2020-03-02,09:21:00,111.54,111.55,111.54,111.54,315
2020-03-02,09:22:00,111.54,111.55,111.54,111.54,284
2020-03-02,09:23:00,111.54,111.54,111.54,111.54,5
2020-03-02,09:24:00,111.54,111.54,111.54,111.54,2
2020-03-02,09:25:00,111.54,111.55,111.54,111.55,206
2020-03-02,09:26:00,111.54,111.55,111.54,111.55,1727
2020-03-02,09:27:00,111.55,111.56,111.55,111.55,308
2020-03-02,09:28:00,111.54,111.55,111.54,111.55,619
2020-03-02,09:29:00,111.55,111.56,111.55,111.56,405
2020-03-02,09:30:00,111.55,111.56,111.55,111.55,468
2020-03-02,09:31:00,111.55,111.55,111.54,111.54,363
2020-03-02,09:32:00,111.55,111.56,111.55,111.56,712
2020-03-02,09:33:00,111.55,111.55,111.55,111.55,215
2020-03-02,09:34:00,111.55,111.55,111.55,111.55,198
2020-03-02,09:35:00,111.55,111.55,111.55,111.55,186
2020-03-02,09:36:00,111.55,111.55,111.55,111.55,0
2020-03-02,09:37:00,111.56,111.56,111.56,111.56,220
2020-03-02,09:38:00,111.56,111.56,111.55,111.56,202
2020-03-02,09:39:00,111.56,111.58,111.56,111.57,2751
2020-03-02,09:40:00,111.58,111.58,111.58,111.58,478
2020-03-02,09:41:00,111.58,111.58,111.58,111.58,202
2020-03-02,09:42:00,111.57,111.58,111.57,111.57,171
2020-03-02,09:43:00,111.57,111.57,111.57,111.57,967
2020-03-02,09:44:00,111.57,111.57,111.57,111.57,500
2020-03-02,09:45:00,111.58,111.59,111.58,111.58,1160
2020-03-02,09:46:00,111.59,111.6,111.59,111.59,947
