DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-12-12,09:01:00,279.9,280.05,279.8,280,1311
2019-12-12,09:02:00,280.05,280.25,280.05,280.1,724
2019-12-12,09:03:00,280.1,280.1,279.85,280,1003
2019-12-12,09:04:00,279.95,280.2,279.95,280.1,734
2019-12-12,09:05:00,280.1,280.55,280.1,280.4,685
2019-12-12,09:06:00,280.45,280.75,280.35,280.6,1141
2019-12-12,09:07:00,280.6,280.65,280.4,280.45,815
2019-12-12,09:08:00,280.45,280.5,280.35,280.4,675
2019-12-12,09:09:00,280.45,280.5,280.4,280.5,410
2019-12-12,09:10:00,280.45,280.5,280.35,280.4,320
2019-12-12,09:11:00,280.4,280.5,280.3,280.5,628
2019-12-12,09:12:00,280.5,280.55,280.45,280.45,354
2019-12-12,09:13:00,280.4,280.5,280.4,280.5,184
2019-12-12,09:14:00,280.45,280.8,280.45,280.7,414
2019-12-12,09:15:00,280.7,280.75,280.65,280.75,304
2019-12-12,09:16:00,280.75,280.85,280.65,280.8,895
2019-12-12,09:17:00,280.8,280.85,280.7,280.7,418
2019-12-12,09:18:00,280.7,280.7,280.5,280.5,546
2019-12-12,09:19:00,280.5,280.6,280.5,280.6,274
2019-12-12,09:20:00,280.6,280.65,280.5,280.55,597
2019-12-12,09:21:00,280.55,280.6,280.5,280.55,275
2019-12-12,09:22:00,280.55,280.55,280.45,280.5,135
2019-12-12,09:23:00,280.55,280.55,280.4,280.45,141
2019-12-12,09:24:00,280.45,280.5,280.4,280.45,199
2019-12-12,09:25:00,280.45,280.45,280.35,280.4,172
2019-12-12,09:26:00,280.45,280.55,280.45,280.5,198
2019-12-12,09:27:00,280.5,280.55,280.45,280.55,102
2019-12-12,09:28:00,280.55,280.65,280.55,280.55,290
2019-12-12,09:29:00,280.55,280.55,280.4,280.4,356
2019-12-12,09:30:00,280.4,280.45,280.3,280.45,254
2019-12-12,09:31:00,280.45,280.5,280.4,280.5,223
2019-12-12,09:32:00,280.5,280.6,280.45,280.5,379
2019-12-12,09:33:00,280.5,280.5,280.45,280.5,178
2019-12-12,09:34:00,280.45,280.45,280.25,280.3,881
2019-12-12,09:35:00,280.3,280.3,280.2,280.25,351
2019-12-12,09:36:00,280.3,280.4,280.3,280.4,358
2019-12-12,09:37:00,280.4,280.45,280.35,280.45,276
2019-12-12,09:38:00,280.45,280.45,280.35,280.35,154
2019-12-12,09:39:00,280.35,280.4,280.35,280.4,69
2019-12-12,09:40:00,280.4,280.5,280.3,280.4,225
2019-12-12,09:41:00,280.4,280.45,280.35,280.4,146
2019-12-12,09:42:00,280.4,280.5,280.35,280.45,98
2019-12-12,09:43:00,280.45,280.75,280.45,280.75,621
2019-12-12,09:44:00,280.7,280.7,280.65,280.7,94
2019-12-12,09:45:00,280.7,280.7,280.55,280.55,131
2019-12-12,09:46:00,280.6,280.7,280.6,280.6,256
2019-12-12,09:47:00,280.6,280.65,280.55,280.6,191
2019-12-12,09:48:00,280.6,280.75,280.6,280.65,132
2019-12-12,09:49:00,280.65,280.7,280.55,280.6,124
2019-12-12,09:50:00,280.65,280.65,280.6,280.6,103
2019-12-12,09:51:00,280.55,280.65,280.55,280.55,86
2019-12-12,09:52:00,280.55,280.65,280.5,280.65,215
2019-12-12,09:53:00,280.65,280.65,280.55,280.6,277
2019-12-12,09:54:00,280.65,280.7,280.6,280.6,144
2019-12-12,09:55:00,280.65,280.7,280.6,280.65,129
2019-12-12,09:56:00,280.65,280.7,280.6,280.65,195
2019-12-12,09:57:00,280.7,280.75,280.65,280.7,50
2019-12-12,09:58:00,280.75,280.75,280.7,280.7,12
2019-12-12,09:59:00,280.7,280.75,280.7,280.75,233
2019-12-12,10:00:00,280.75,280.8,280.7,280.7,120
2019-12-12,10:01:00,280.7,280.85,280.7,280.75,237
2019-12-12,10:02:00,280.8,280.8,280.6,280.65,347
2019-12-12,10:03:00,280.6,280.65,280.55,280.6,366
2019-12-12,10:04:00,280.6,280.65,280.55,280.65,214
2019-12-12,10:05:00,280.6,280.6,280.55,280.6,162
2019-12-12,10:06:00,280.55,280.65,280.55,280.65,99
2019-12-12,10:07:00,280.65,280.7,280.65,280.65,53
2019-12-12,10:08:00,280.65,280.75,280.65,280.7,114
2019-12-12,10:09:00,280.75,280.75,280.65,280.75,83
2019-12-12,10:10:00,280.8,280.8,280.7,280.75,84
2019-12-12,10:11:00,280.75,280.85,280.7,280.85,251
2019-12-12,10:12:00,280.9,280.95,280.85,280.9,354
2019-12-12,10:13:00,280.9,280.9,280.8,280.9,193
2019-12-12,10:14:00,280.95,280.95,280.9,280.95,71
2019-12-12,10:15:00,280.95,281,280.95,280.95,299
2019-12-12,10:16:00,281,281,280.9,280.95,246
2019-12-12,10:17:00,280.95,280.95,280.9,280.95,107
2019-12-12,10:18:00,280.9,281.05,280.9,280.95,474
2019-12-12,10:19:00,280.95,281,280.9,280.9,164
2019-12-12,10:20:00,280.95,280.95,280.9,280.9,195
2019-12-12,10:21:00,280.95,280.95,280.85,280.9,62
2019-12-12,10:22:00,280.9,280.95,280.85,280.85,134
2019-12-12,10:23:00,280.85,280.95,280.85,280.95,122
2019-12-12,10:24:00,280.9,281,280.9,280.95,153
2019-12-12,10:25:00,281,281,280.9,280.95,83
2019-12-12,10:26:00,280.95,281,280.95,281,75
2019-12-12,10:27:00,281,281,280.95,281,24
2019-12-12,10:28:00,281,281,280.9,281,191
2019-12-12,10:29:00,281,281.1,281,281,343
2019-12-12,10:30:00,281.05,281.15,280.95,281.15,586
2019-12-12,10:31:00,281.15,281.15,281,281,364
