DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,09:01:00,269.5,269.85,269.25,269.8,8264
2020-03-02,09:02:00,269.75,270.2,269.45,269.55,6046
2020-03-02,09:03:00,269.5,269.55,268.95,269.05,4553
2020-03-02,09:04:00,269.05,269.25,268.85,269.25,2432
2020-03-02,09:05:00,269.2,269.45,269.05,269.45,2257
2020-03-02,09:06:00,269.4,269.7,269.4,269.55,2916
2020-03-02,09:07:00,269.55,269.6,269.1,269.35,1974
2020-03-02,09:08:00,269.4,269.55,269.2,269.5,1807
2020-03-02,09:09:00,269.55,269.7,269.35,269.4,2065
2020-03-02,09:10:00,269.4,269.55,269.3,269.35,1869
2020-03-02,09:11:00,269.35,269.4,269.1,269.1,1429
2020-03-02,09:12:00,269.1,269.15,268.55,268.55,2561
2020-03-02,09:13:00,268.6,268.75,268.3,268.4,2559
2020-03-02,09:14:00,268.4,268.4,268.05,268.15,1429
2020-03-02,09:15:00,268.15,268.25,268.05,268.15,1387
2020-03-02,09:16:00,268.1,268.25,267.8,268.15,2725
2020-03-02,09:17:00,268.1,268.1,267.75,267.9,2055
2020-03-02,09:18:00,267.85,267.85,267.4,267.5,2408
2020-03-02,09:19:00,267.5,267.6,267.35,267.6,1935
2020-03-02,09:20:00,267.6,268.25,267.6,268.15,2381
2020-03-02,09:21:00,268.15,268.15,267.85,268,2276
2020-03-02,09:22:00,268.05,268.05,267.7,267.9,2107
2020-03-02,09:23:00,267.85,267.9,267.55,267.85,1572
2020-03-02,09:24:00,267.8,267.8,267.55,267.6,1095
2020-03-02,09:25:00,267.55,267.9,267.55,267.9,1064
2020-03-02,09:26:00,267.95,267.95,267.05,267.1,3156
2020-03-02,09:27:00,267.05,267.35,266.85,267.1,2735
2020-03-02,09:28:00,267.15,267.15,266.9,267.05,1354
2020-03-02,09:29:00,267,267.15,266.7,266.75,1979
2020-03-02,09:30:00,266.75,267,266.6,266.6,1313
2020-03-02,09:31:00,266.65,266.75,266.2,266.25,2711
2020-03-02,09:32:00,266.25,266.45,266.15,266.25,1440
2020-03-02,09:33:00,266.3,266.65,266.25,266.5,2062
2020-03-02,09:34:00,266.45,266.7,266.25,266.6,1392
2020-03-02,09:35:00,266.6,266.7,266.35,266.55,1235
2020-03-02,09:36:00,266.55,266.6,266.4,266.45,846
2020-03-02,09:37:00,266.4,266.55,266.25,266.4,1114
2020-03-02,09:38:00,266.4,266.45,266.3,266.35,1831
2020-03-02,09:39:00,266.4,266.4,266.1,266.15,1618
2020-03-02,09:40:00,266.15,266.2,266.05,266.05,1443
2020-03-02,09:41:00,266.1,266.2,266.05,266.15,1210
2020-03-02,09:42:00,266.1,266.25,266.05,266.2,1241
2020-03-02,09:43:00,266.2,266.2,266.05,266.2,967
2020-03-02,09:44:00,266.25,266.5,266.25,266.5,1652
2020-03-02,09:45:00,266.5,266.55,266.1,266.25,2256
2020-03-02,09:46:00,266.2,266.3,266.1,266.25,853
2020-03-02,09:47:00,266.2,266.55,266.2,266.4,1405
2020-03-02,09:48:00,266.35,266.7,266.3,266.55,1518
2020-03-02,09:49:00,266.5,266.7,266.4,266.55,1218
2020-03-02,09:50:00,266.55,266.95,266.55,266.9,1738
2020-03-02,09:51:00,266.95,267.3,266.95,267.1,2149
2020-03-02,09:52:00,267.1,267.5,267.1,267.3,1813
2020-03-02,09:53:00,267.3,267.35,266.85,266.95,2391
2020-03-02,09:54:00,266.95,267,266.65,266.8,1601
2020-03-02,09:55:00,266.8,266.8,266.55,266.6,1604
2020-03-02,09:56:00,266.6,266.95,266.45,266.9,1999
2020-03-02,09:57:00,266.9,267.15,266.7,267,1409
2020-03-02,09:58:00,267,267.05,266.75,266.75,1232
2020-03-02,09:59:00,266.75,267.2,266.75,267.15,937
2020-03-02,10:00:00,267.2,267.2,267,267.15,912
