DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-12-12,09:01:00,110.52,110.52,110.52,110.52,8
2019-12-12,09:02:00,110.52,110.52,110.52,110.52,0
2019-12-12,09:03:00,110.5,110.5,110.5,110.5,2
2019-12-12,09:04:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:05:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:06:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:07:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:08:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:09:00,110.47,110.47,110.47,110.47,8
2019-12-12,09:10:00,110.47,110.47,110.47,110.47,0
2019-12-12,09:11:00,110.47,110.47,110.47,110.47,0
2019-12-12,09:12:00,110.49,110.49,110.49,110.49,10
2019-12-12,09:13:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:14:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:15:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:16:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:17:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:18:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:19:00,110.5,110.5,110.5,110.5,45
2019-12-12,09:20:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:21:00,110.49,110.49,110.49,110.49,1
2019-12-12,09:22:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:23:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:24:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:25:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:26:00,110.51,110.51,110.51,110.51,74
2019-12-12,09:27:00,110.51,110.51,110.51,110.51,26
2019-12-12,09:28:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:29:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:30:00,110.51,110.51,110.51,110.51,100
2019-12-12,09:31:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:32:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:33:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:34:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:35:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:36:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:37:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:38:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:39:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:40:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:41:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:42:00,110.5,110.5,110.5,110.5,10
2019-12-12,09:43:00,110.5,110.5,110.5,110.5,20
2019-12-12,09:44:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:45:00,110.5,110.5,110.5,110.5,0
2019-12-12,09:46:00,110.49,110.49,110.49,110.49,150
2019-12-12,09:47:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:48:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:49:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:50:00,110.51,110.51,110.51,110.51,2
2019-12-12,09:51:00,110.51,110.51,110.51,110.51,0
2019-12-12,09:52:00,110.5,110.5,110.49,110.49,47
2019-12-12,09:53:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:54:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:55:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:56:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:57:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:58:00,110.49,110.49,110.49,110.49,0
2019-12-12,09:59:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:00:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:01:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:02:00,110.51,110.51,110.51,110.51,16
2019-12-12,10:03:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:04:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:05:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:06:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:07:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:08:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:09:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:10:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:11:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:12:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:13:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:14:00,110.51,110.51,110.51,110.51,0
2019-12-12,10:15:00,110.49,110.49,110.49,110.49,176
2019-12-12,10:16:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:17:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:18:00,110.49,110.49,110.49,110.49,0
2019-12-12,10:19:00,110.48,110.48,110.48,110.48,50
2019-12-12,10:20:00,110.48,110.48,110.48,110.48,150
2019-12-12,10:21:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:22:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:23:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:24:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:25:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:26:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:27:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:28:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:29:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:30:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:31:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:32:00,110.49,110.49,110.48,110.48,111
2019-12-12,10:33:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:34:00,110.48,110.48,110.48,110.48,66
2019-12-12,10:35:00,110.48,110.48,110.48,110.48,1
2019-12-12,10:36:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:37:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:38:00,110.48,110.48,110.48,110.48,0
2019-12-12,10:39:00,110.47,110.47,110.47,110.47,101
2019-12-12,10:40:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:41:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:42:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:43:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:44:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:45:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:46:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:47:00,110.46,110.46,110.46,110.46,100
2019-12-12,10:48:00,110.47,110.47,110.47,110.47,135
2019-12-12,10:49:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:50:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:51:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:52:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:53:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:54:00,110.47,110.47,110.47,110.47,0
2019-12-12,10:55:00,110.47,110.47,110.47,110.47,293
2019-12-12,10:56:00,110.47,110.47,110.47,110.47,11
