DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,09:01:00,135,135.01,134.86,134.91,1851
2020-03-02,09:02:00,134.91,134.92,134.83,134.83,1071
2020-03-02,09:03:00,134.82,134.86,134.8,134.85,799
2020-03-02,09:04:00,134.85,134.85,134.76,134.76,570
2020-03-02,09:05:00,134.78,134.8,134.74,134.75,594
2020-03-02,09:06:00,134.76,134.76,134.71,134.71,662
2020-03-02,09:07:00,134.7,134.77,134.7,134.72,667
2020-03-02,09:08:00,134.72,134.72,134.66,134.67,343
2020-03-02,09:09:00,134.67,134.7,134.65,134.7,450
2020-03-02,09:10:00,134.7,134.73,134.69,134.71,380
2020-03-02,09:11:00,134.71,134.75,134.71,134.73,207
2020-03-02,09:12:00,134.72,134.76,134.72,134.76,325
2020-03-02,09:13:00,134.76,134.77,134.71,134.72,427
2020-03-02,09:14:00,134.73,134.74,134.73,134.73,165
2020-03-02,09:15:00,134.72,134.72,134.68,134.69,385
2020-03-02,09:16:00,134.7,134.7,134.67,134.69,380
2020-03-02,09:17:00,134.7,134.7,134.67,134.67,248
2020-03-02,09:18:00,134.68,134.71,134.68,134.69,364
2020-03-02,09:19:00,134.69,134.69,134.65,134.69,651
2020-03-02,09:20:00,134.68,134.68,134.64,134.68,554
2020-03-02,09:21:00,134.69,134.7,134.68,134.7,248
2020-03-02,09:22:00,134.7,134.71,134.69,134.7,246
2020-03-02,09:23:00,134.71,134.71,134.7,134.71,313
2020-03-02,09:24:00,134.71,134.72,134.71,134.71,216
2020-03-02,09:25:00,134.71,134.72,134.7,134.7,257
2020-03-02,09:26:00,134.7,134.75,134.7,134.75,569
2020-03-02,09:27:00,134.76,134.76,134.73,134.73,218
2020-03-02,09:28:00,134.74,134.75,134.71,134.74,301
2020-03-02,09:29:00,134.74,134.76,134.73,134.76,184
2020-03-02,09:30:00,134.76,134.77,134.74,134.75,203
2020-03-02,09:31:00,134.76,134.76,134.74,134.74,231
2020-03-02,09:32:00,134.74,134.76,134.74,134.75,225
2020-03-02,09:33:00,134.74,134.74,134.71,134.73,485
2020-03-02,09:34:00,134.73,134.74,134.72,134.73,100
2020-03-02,09:35:00,134.73,134.79,134.73,134.76,517
2020-03-02,09:36:00,134.76,134.77,134.76,134.77,238
2020-03-02,09:37:00,134.77,134.78,134.77,134.78,227
2020-03-02,09:38:00,134.78,134.78,134.78,134.78,175
2020-03-02,09:39:00,134.78,134.85,134.78,134.84,924
2020-03-02,09:40:00,134.84,134.86,134.82,134.84,387
