date,open,high,low,close,volume,dividend,split
2012-01-02,102.04,102.04,101.83,101.93,16395,0,1
2012-01-03,101.84,101.93,101.68,101.81,21500,0,1
2012-01-04,101.76,101.82,101.7,101.74,30370,0,1
2012-01-05,101.79,101.93,101.71,101.9,24668,0,1
2012-01-06,101.91,102.03,101.72,101.86,26846,0,1
2012-01-09,101.84,101.98,101.77,101.79,27064,0,1
2012-01-10,101.82,101.89,101.76,101.81,19797,0,1
2012-01-11,101.82,101.85,101.72,101.84,17209,0,1
2012-01-12,101.85,101.91,101.85,101.86,20913,0,1
2012-01-13,101.82,101.99,101.74,101.8,23145,0,1
2012-01-16,101.88,101.92,101.81,101.85,20448,0,1
2012-01-17,101.84,101.87,101.67,101.68,19438,0,1
2012-01-18,101.76,101.91,101.71,101.79,25749,0,1
2012-01-19,101.82,101.86,101.77,101.81,19607,0,1
2012-01-20,101.77,101.77,101.51,101.59,19526,0,1
2012-01-25,101.63,101.72,101.54,101.54,22045,0,1
2012-01-26,101.64,101.71,101.5,101.5,19645,0,1
2012-01-27,101.59,101.71,101.59,101.71,22976,0,1
2012-01-30,101.8,102.02,101.75,102.02,23526,0,1
2012-01-31,102.09,102.16,101.91,102.01,34896,0,1
2012-02-01,102.14,102.23,102.09,102.14,25743,0,1
2012-02-02,102.07,102.1,102.01,102.01,30795,0,1
2012-02-03,101.99,102.13,101.92,101.92,36981,0,1
2012-02-06,101.77,101.9,101.77,101.9,27311,0,1
2012-02-07,101.91,101.95,101.65,101.68,30737,0,1
2012-02-08,101.66,101.66,101.43,101.49,36895,0,1
2012-02-09,101.57,101.77,101.42,101.56,35231,0,1
2012-02-10,101.54,101.67,101.47,101.63,34989,0,1
2012-02-13,101.69,101.69,101.4,101.43,25885,0,1
2012-02-14,101.49,101.61,101.46,101.54,38153,0,1
2012-02-15,101.62,101.64,101.47,101.47,38259,0,1
2012-02-16,101.6,101.65,101.55,101.62,49861,0,1
2012-02-17,101.49,101.52,101.41,101.44,40160,0,1
2012-02-20,101.38,101.4,101.21,101.31,45453,0,1
2012-02-21,101.34,101.54,101.34,101.35,62365,0,1
2012-02-22,101.37,101.44,101.29,101.33,44015,0,1
2012-02-23,101.44,101.51,101.41,101.47,53311,0,1
2012-02-24,101.46,101.51,101.4,101.51,52584,0,1
2012-02-27,101.55,101.66,101.55,101.59,43487,0,1
2012-02-28,101.69,101.83,101.65,101.81,54252,0,1
2012-02-29,101.71,101.77,101.62,101.62,45617,0,1
2012-03-02,101.39,101.48,101.3,101.32,65992,0,1
2012-03-05,101.41,101.41,101.01,101.06,59774,0,1
2012-03-06,101.06,101.11,100.95,101.09,75262,0,1
2012-03-07,101.22,101.26,100.96,100.96,98353,0,1
2012-03-08,100.91,101.29,100.89,101.25,92949,0,1
2012-03-09,101.16,101.36,101.11,101.16,75617,0,1
2012-03-12,101.24,101.41,101.23,101.36,78463,0,1
2012-03-13,101.34,101.41,101.28,101.32,83771,0,1
2012-03-14,101.08,101.14,100.91,101.09,91005,0,1
2012-03-15,100.79,100.82,100.59,100.63,70602,0,1
2012-03-16,100.6,100.77,100.31,100.37,68767,0,1
2012-03-19,100.37,100.39,99.97,100.09,32257,0,1
2012-03-20,99.93,100.2,99.81,100.09,45143,0,1
2012-03-21,100.15,100.15,99.72,99.72,45973,0,1
2012-03-22,99.83,99.9,99.48,99.53,53444,0,1
2012-03-23,99.63,99.67,99.35,99.59,61241,0,1
2012-03-26,99.73,100.06,99.68,99.86,60105,0,1
2012-03-27,99.86,100.1,99.79,99.79,40251,0,1
2012-03-28,99.96,100.15,99.95,100.15,61733,0,1
2012-03-29,100.22,100.28,99.95,100.28,58694,0,1
2012-03-30,100.11,100.64,100.11,100.58,38275,0,1
2012-04-02,100.46,100.5,100.22,100.27,52054,0,1
2012-04-03,100.29,100.57,100.18,100.51,62061,0,1
2012-04-04,100.24,100.48,100.21,100.48,45577,0,1
2012-04-05,100.64,100.73,100.37,100.38,61541,0,1
2012-04-06,100.49,100.6,100.37,100.56,52052,0,1
2012-04-09,100.99,101.18,100.89,100.98,42877,0,1
2012-04-10,100.98,101.1,100.8,100.98,55572,0,1
2012-04-12,101.03,101.09,100.94,101,51168,0,1
2012-04-13,100.99,101.08,100.88,101.05,43798,0,1
2012-04-16,101.64,101.64,101.3,101.32,26111,0,1
2012-04-17,101.3,101.5,101.29,101.41,49573,0,1
2012-04-18,101.28,101.39,101.28,101.29,44082,0,1
2012-04-19,101.38,101.41,101.29,101.33,38117,0,1
2012-04-20,101.38,101.59,101.38,101.59,43139,0,1
2012-04-23,101.59,101.61,101.41,101.5,51006,0,1
2012-04-24,101.62,101.64,101.44,101.44,39313,0,1
2012-04-25,101.33,101.38,101.26,101.29,35453,0,1
2012-04-26,101.34,101.36,101.28,101.33,43686,0,1
2012-04-27,101.49,101.75,101.44,101.73,47598,0,1
2012-04-30,101.76,101.94,101.71,101.93,58579,0,1
2012-05-02,101.92,101.98,101.81,101.81,50661,0,1
2012-05-03,101.91,102.05,101.9,102.03,45564,0,1
2012-05-04,102.09,102.13,101.95,102.1,60465,0,1
2012-05-07,102.28,102.6,102.28,102.39,39379,0,1
2012-05-08,102.36,102.39,102.19,102.21,59905,0,1
2012-05-09,102.44,102.48,102.28,102.32,59065,0,1
2012-05-10,102.33,102.37,102.07,102.16,47564,0,1
2012-05-11,102.23,102.52,102.15,102.52,57250,0,1
2012-05-14,102.5,102.58,102.44,102.47,53562,0,1
2012-05-15,102.81,102.84,102.54,102.54,48012,0,1
2012-05-16,102.66,102.71,102.35,102.66,47705,0,1
2012-05-17,102.6,102.67,102.46,102.59,43609,0,1
2012-05-18,102.71,102.87,102.61,102.86,31078,0,1
2012-05-21,102.7,102.75,102.55,102.57,34481,0,1
2012-05-22,102.48,102.66,102.48,102.66,36951,0,1
2012-05-23,102.63,102.8,102.63,102.66,28140,0,1
2012-05-24,102.76,102.77,102.62,102.69,24508,0,1
2012-05-25,102.64,102.75,102.62,102.73,24567,0,1
2012-05-29,102.73,102.79,102.62,102.62,26508,0,1
2012-05-30,102.62,102.8,102.62,102.76,38274,0,1
2012-05-31,103,103.15,102.97,103.15,35967,0,1
2012-06-01,103.28,103.6,103.28,103.59,42984,0,1
2012-06-04,103.94,104.26,103.85,104.22,49708,0,1
2012-06-05,104.03,104.03,103.73,103.75,68349,0,1
2012-06-07,103.33,103.54,103.22,103.44,56920,0,1
2012-06-08,103.51,104.24,103.51,104.2,31293,0,1
2012-06-11,103.9,103.93,103.31,103.41,55923,0,1
2012-06-12,103.77,103.9,103.44,103.75,57161,0,1
2012-06-13,103.49,103.63,103.39,103.6,57435,0,1
2012-06-14,103.73,103.83,103.61,103.61,47437,0,1
2012-06-15,103.6,103.69,103.45,103.61,44112,0,1
2012-06-18,103.29,103.43,103.11,103.32,36212,0,1
2012-06-19,103.45,103.61,103.45,103.56,34415,0,1
2012-06-20,103.45,103.46,103.11,103.34,56369,0,1
2012-06-21,103.24,103.51,103.07,103.46,70454,0,1
2012-06-22,103.62,103.75,103.58,103.62,74105,0,1
2012-06-25,103.45,103.71,103.41,103.71,58062,0,1
2012-06-26,103.86,103.89,103.61,103.61,89911,0,1
2012-06-27,103.64,103.87,103.64,103.83,88229,0,1
2012-06-28,103.79,104.04,103.76,103.86,76398,0,1
2012-06-29,104.06,104.1,103.4,103.58,82417,0,1
2012-07-02,103.58,103.76,103.36,103.76,63351,0,1
2012-07-03,103.85,103.98,103.79,103.96,69786,0,1
2012-07-04,103.86,104.17,103.83,104.17,60385,0,1
2012-07-05,104.17,104.37,104.07,104.26,66698,0,1
2012-07-06,104.38,104.65,104.25,104.4,66230,0,1
2012-07-09,104.59,104.65,104.4,104.53,52710,0,1
2012-07-10,104.46,104.72,104.28,104.45,75244,0,1
2012-07-11,104.52,104.69,104.38,104.69,46303,0,1
2012-07-12,104.77,106.66,104.69,106.65,44019,0,1
2012-07-13,106.56,107.36,106.54,107.01,39170,0,1
2012-07-16,106.91,107.26,106.84,107.12,57747,0,1
2012-07-17,107.31,107.71,107.23,107.52,66307,0,1
2012-07-18,107.46,107.97,107.45,107.85,59532,0,1
2012-07-19,107.88,108.36,107.57,107.57,55944,0,1
2012-07-20,107.66,107.9,107.43,107.9,57743,0,1
2012-07-23,108.31,108.69,108.21,108.69,50712,0,1
2012-07-24,108.73,108.86,108.39,108.56,59272,0,1
2012-07-25,109.01,109.4,108.98,109.25,54714,0,1
2012-07-26,109.14,109.33,108.99,109.01,59890,0,1
2012-07-27,108.66,108.77,108.07,108.12,44618,0,1
2012-07-30,107.51,108.3,107.46,108.11,67118,0,1
2012-07-31,108.16,108.5,107.71,107.96,53923,0,1
2012-08-01,108.44,108.47,107.92,107.92,70423,0,1
2012-08-02,108.02,108.41,108.01,108.31,57659,0,1
2012-08-03,108.94,109.06,108.75,109.01,60660,0,1
2012-08-06,108.56,109.06,108.49,108.96,53530,0,1
2012-08-07,109,109.05,108.89,109.04,54941,0,1
2012-08-08,108.98,109.24,108.78,109.16,50424,0,1
2012-08-09,109.2,109.21,108.59,108.76,42610,0,1
2012-08-10,108.62,108.99,108.56,108.96,44145,0,1
2012-08-13,108.95,108.98,108.67,108.72,45392,0,1
2012-08-14,108.71,108.71,108.26,108.32,51842,0,1
2012-08-16,107.9,107.9,106.97,107.21,67690,0,1
2012-08-17,107.36,107.65,107.16,107.59,67317,0,1
2012-08-20,107.48,107.63,107.32,107.32,62113,0,1
2012-08-21,107.21,107.81,107.21,107.79,67405,0,1
2012-08-22,107.85,108.11,107.59,107.68,82297,0,1
2012-08-23,108.21,108.29,107.94,108.13,69203,0,1
2012-08-24,108.21,108.56,108.21,108.56,60906,0,1
2012-08-27,108.79,108.79,108.28,108.76,115416,0,1
2012-08-28,108.71,108.96,108.58,108.68,71789,0,1
2012-08-29,108.81,109.06,108.8,108.99,83809,0,1
2012-08-30,109.01,109.22,108.94,109.05,74488,0,1
2012-08-31,109.07,109.26,109.05,109.22,69988,0,1
2012-09-03,109.62,109.63,109.27,109.33,61838,0,1
2012-09-04,109.42,109.56,109.15,109.16,84638,0,1
2012-09-05,109.26,109.61,109.26,109.61,79251,0,1
2012-09-06,109.6,109.6,109.38,109.54,80869,0,1
2012-09-07,108.9,109.14,108.71,108.86,75980,0,1
2012-09-10,109.16,109.23,108.86,109.02,76386,0,1
2012-09-11,109.09,109.37,109.06,109.29,62822,0,1
2012-09-12,109.19,109.24,108.95,109.16,64556,0,1
2012-09-13,109.06,109.21,108.39,108.73,38269,0,1
2012-09-14,108.4,108.79,108.29,108.69,54139,0,1
2012-09-17,107.96,108.33,107.38,108.26,63142,0,1
2012-09-18,108.84,108.92,108.62,108.81,79804,0,1
2012-09-19,108.86,108.86,108.48,108.51,89791,0,1
2012-09-20,108.71,109.36,108.61,109.36,101213,0,1
2012-09-21,109.19,109.35,109.02,109.06,85301,0,1
2012-09-24,109.16,109.3,109.03,109.23,70697,0,1
2012-09-25,109.32,109.42,109.12,109.26,79647,0,1
2012-09-26,109.42,109.46,109.25,109.33,73560,0,1
2012-09-27,109.58,109.59,109.18,109.18,86290,0,1
2012-09-28,109.31,109.64,109.26,109.48,61399,0,1
2012-10-02,109.6,110.03,109.49,110,28712,0,1
2012-10-04,109.95,110.24,109.94,110.19,47772,0,1
2012-10-05,110.06,110.28,109.97,110.15,57603,0,1
2012-10-08,110.01,110.15,109.97,110.07,45293,0,1
2012-10-09,110.15,110.18,109.92,110.01,56114,0,1
2012-10-10,110.12,110.61,110.12,110.54,49994,0,1
2012-10-11,110.7,110.95,110.28,110.34,41058,0,1
2012-10-12,110.44,110.44,110.11,110.14,47703,0,1
2012-10-15,110.2,110.37,110.1,110.22,48969,0,1
2012-10-16,110.14,110.35,110.02,110.02,59489,0,1
2012-10-17,109.8,109.93,109.75,109.83,53329,0,1
2012-10-18,109.43,109.64,109.28,109.33,59242,0,1
2012-10-19,109.46,109.52,109.32,109.48,45160,0,1
2012-10-22,109.86,109.86,109.15,109.15,63784,0,1
2012-10-23,109.26,109.42,109.01,109.41,67151,0,1
2012-10-24,109.61,109.66,109.42,109.54,61862,0,1
2012-10-25,109.52,109.72,109.4,109.58,52378,0,1
2012-10-26,109.63,109.89,109.53,109.83,60415,0,1
2012-10-29,109.89,109.91,109.71,109.77,63367,0,1
2012-10-30,109.85,109.91,109.62,109.85,64890,0,1
2012-10-31,109.81,110.1,109.78,109.96,65857,0,1
2012-11-01,110.03,110.08,109.93,109.99,69804,0,1
2012-11-02,109.8,109.92,109.71,109.91,77209,0,1
2012-11-05,110.03,110.03,109.67,109.67,78224,0,1
2012-11-06,109.76,109.84,109.6,109.81,73448,0,1
2012-11-07,109.68,109.89,109.67,109.81,63330,0,1
2012-11-08,109.98,110.16,109.92,110.06,68048,0,1
2012-11-09,110.17,110.28,109.82,109.86,74502,0,1
2012-11-12,109.83,109.91,109.74,109.79,75672,0,1
2012-11-13,109.8,110.06,109.8,110.06,77180,0,1
2012-11-14,110.05,110.05,109.88,109.96,85347,0,1
2012-11-15,110.08,110.13,110.01,110.01,70558,0,1
2012-11-16,110.08,110.11,109.98,110.11,66862,0,1
2012-11-19,110.01,110.03,109.86,109.91,56580,0,1
2012-11-20,109.81,109.86,109.77,109.83,44240,0,1
2012-11-21,109.72,109.93,109.66,109.83,66028,0,1
2012-11-22,109.72,109.72,109.56,109.56,56916,0,1
2012-11-23,109.6,109.61,109.23,109.38,49301,0,1
2012-11-26,109.3,109.56,109.29,109.54,55947,0,1
2012-11-27,109.41,109.47,109.24,109.39,54230,0,1
2012-11-28,109.47,109.58,109.43,109.57,45890,0,1
2012-11-29,109.48,109.57,109.44,109.55,34116,0,1
2012-11-30,109.65,109.66,109.42,109.43,35520,0,1
2012-12-03,109.44,109.53,109.29,109.4,50044,0,1
2012-12-04,109.42,109.49,109.33,109.36,42211,0,1
2012-12-05,109.42,109.43,108.86,108.96,44797,0,1
2012-12-06,108.96,109.04,108.79,109.03,49634,0,1
2012-12-07,109.06,109.2,108.9,109.2,41955,0,1
2012-12-10,109.09,109.11,108.83,108.88,49531,0,1
2012-12-11,108.9,108.95,108.82,108.84,46857,0,1
